donor_name,donor_province,donor_city,total_donations,donations_per_employee_range,donation_consistency
THE GONZAGA FOUNDATION,BC,NORTH VANCOUVER,3,0,3
THE GOODMAN FAMILY FOUNDATION,ON,TORONTO,11,2,3
THE GORDON AND DONNA FEENEY FAMILY FOUNDATION,ON,TORONTO,1,1,1
THE GORDON AND LORRAINE GIBSON FAMILY FOUNDATION,ON,NORTH YORK,14,2,4
THE GORDON FOUNDATION,ON,SARNIA,1,4,1
THE GORDON FOUNDATION FOR CHILDREN AND YOUTH,NS,HALIFAX,1,2,1
THE GOSLING FOUNDATION,ON,GUELPH,12,1,3
THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA/CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,AB,EDMONTON,2,6,2
THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA/CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,AB,RED DEER,1,5,1
THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA/CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,BC,BURNABY,4,6,4
THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA/CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,BC,FERNIE,1,7,1
THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA/CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,BC,LANGLEY,1,0,1
THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA/CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,MB,BRANDON,1,7,1
THE GOVERNING COUNCIL OF THE SALVATION ARMY IN CANADA/CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,MB,WINNIPEG,3,6,2
THE GOVERNORS OF THE UNIVERSITY OF CALGARY,AB,CALGARY,2,3,2
THE GRA CHARITABLE TRUST,ON,THORNHILL,14,0,4
THE GRACE FOUNDATION,ON,NORTH BAY,1,4,1
THE GRAHAM FAMILY FOUNDATION,ON,OTTAWA,2,2,1
THE GRANARY FOUNDATION,ON,OAKVILLE,4,5,4
THE GRAND CHAPTER ROYAL ARCH MASONS OF CANADA IN THE PROVINCE OF ONTARIO MEDICAL RESEARCH FUND,ON,HAMILTON,1,7,1
THE GRANDE PRAIRIE REGIONAL COLLEGE ALUMNI/FOUNDATION,AB,GRANDE PRAIRIE,4,7,4
THE GRANDEY FAMILY FOUNDATION INC.,SK,SASKATOON,1,1,1
THE GRANT MORRIS FOUNDATION,ON,PICKERING,2,7,2
THE GREAT GULF HOMES CHARITABLE FOUNDATION,ON,TORONTO,12,5,4
THE GREATER SAINT JOHN COMMUNITY FOUNDATION LA FONDATION COMMUNAUTAIRE DE GRAND SAINT JOHN,NB,SAINT JOHN,28,7,4
THE GREENE FAMILY CHARITABLE FOUNDATION,AB,CALGARY,4,5,4
THE GRENADIER FOUNDATION,ON,TORONTO,6,6,4
THE GRIFFIN TRUST FOR EXCELLENCE IN POETRY,ON,OAKVILLE,1,1,1
THE GRIFFITH FOODS FOUNDATION,ON,SCARBOROUGH,2,2,1
THE GROSS FAMILY FOUNDATION,ON,TORONTO,13,2,3
THE GRUBNER FAMILY CHARITABLE TRUST,ON,TORONTO,5,4,2
THE GUARDIAN PROJECT,ON,TORONTO,7,3,4
THE GUELPH COMMUNITY FOUNDATION,ON,GUELPH,41,2,3
THE GUPTA FAMILY FOUNDATION,ON,MARKHAM,1,1,1
THE GWD FOUNDATION FOR KIDS,ON,BURLINGTON,5,2,3
THE GWYN MORGAN AND PATRICIA TROTTIER FOUNDATION,AB,CALGARY,32,7,4
THE GYRO CLUB OF VANCOUVER CHARITABLE FOUNDATION,BC,RICHMOND,1,7,1
THE H & R MIDA CHARITABLE FOUNDATION,ON,TORONTO,3,5,2
THE H. JOHN MCDONALD FOUNDATION,ON,TORONTO,4,4,2
THE HAMBER FOUNDATION,BC,VANCOUVER,75,2,2
THE HAMILTON PHILHARMONIC ORCHESTRA (2000) INC.,ON,HAMILTON,1,2,1
THE HANN FAMILY CHARITABLE FOUNDATION,ON,TORONTO,4,5,3
THE HANSON FOUNDATION,BC,VANCOUVER,2,5,2
THE HARBINGER FOUNDATION,ON,TORONTO,13,0,4
THE HARBOUR CHURCH (NORTH BAY) INC.,ON,NORTH BAY,1,2,1
THE HARDER FOUNDATION,BC,LANGLEY,3,7,3
THE HAROLD E. BALLARD FOUNDATION,ON,TORONTO,6,1,3
THE HARRY AND MAX KOROLNEK FAMILY FOUNDATION,ON,TORONTO,1,4,1
THE HARRY P WARD FOUNDATION,ON,OTTAWA,12,2,2
THE HARVEY AND JODY DALES FAMILY PHILANTHROPIC FOUNDATION,BC,VANCOUVER,10,5,4
THE HARVEY AND SHEILA HECKER FAMILY FOUNDATION,ON,TORONTO,2,1,1
THE HARWEG FOUNDATION,ON,TORONTO,14,0,3
THE HAVERGAL COLLEGE FOUNDATION,ON,TORONTO,2,7,2
THE HAY FOUNDATION/LA FONDATION HAY,QC,MONTREAL,17,2,2
THE HAYHOE FOUNDATION,ON,TORONTO,1,1,1
THE HAYNES-CONNELL FOUNDATION,ON,TORONTO,7,0,3
THE HELDERLEIGH FOUNDATION,ON,NORTH YORK,16,4,4
THE HELLER/SMITH FAMILY FOUNDATION,ON,GANANOQUE,9,7,4
THE HELPALITTLE FOUNDATION,BC,WEST VANCOUVER,2,3,1
THE HENRY AND BERENICE KAUFMANN FOUNDATION,QC,MONTREAL,14,3,3
THE HENRY AND GERTRUDE SAWATZKY FAMILY FOUNDATION INC.,BC,KELOWNA,3,6,3
THE HENRY AND SYLVIA WAKS FAMILY FOUNDATION,ON,TORONTO,5,7,3
THE HENRY WHITE KINNEAR FOUNDATION,ON,TORONTO,26,3,3
THE HENSLOW-BROWN FOUNDATION,ON,ACTON,2,4,2
THE HERB AND CECE SCHREIBER FAMILY FOUNDATION,ON,HAMILTON,3,0,2
THE HERITAGE PROJECT/REFLETS DU PATRIMOINE,ON,TORONTO,3,6,3
THE HERMANT FAMILY FOUNDATION,ON,MISSISSAUGA,7,2,4
THE HIEROS FOUNDATION,BC,WEST VANCOUVER,4,2,4
THE HIGHBURY FOUNDATION,BC,VANCOUVER,12,7,4
THE HIGHWATER FOUNDATION,QC,BEACONSFIELD,2,3,2
THE HILL 70 MEMORIAL,ON,KINGSTON,1,7,1
THE HILLSBOROUGH CHURCH PRESERVATION SOCIETY,NS,MABOU,2,7,2
THE HINDLE FAMILY FOUNDATION,AB,CALGARY,4,7,4
THE HIROC FOUNDATION,ON,TORONTO,1,7,1
THE HISTORIC 1000 ISLANDS VILLAGE FOUNDATION,ON,GANANOQUE,2,0,2
THE HOFSTEDTER FAMILY CHARITABLE FOUNDATION,ON,DOWNSVIEW,22,3,3
THE HOLDSWORTH FOUNDATION,NS,HALIFAX,1,5,1
THE HOLT FOUNDATION,QC,QUEBECO,7,6,4
THE HOME DEPOT CANADA FOUNDATION,ON,TORONTO,80,3,4
THE HOMEWOOD FOUNDATION,ON,GUELPH,8,4,4
THE HOPE CHARITABLE FOUNDATION,ON,TORONTO,10,7,4
THE HOPSCOTCH FOUNDATION,ON,TORONTO,1,0,1
THE HOSPITAL FOR SICK CHILDREN FOUNDATION,ON,TORONTO,18,7,4
THE HOUSSIAN FOUNDATION,BC,VANCOUVER,8,2,4
THE HOWARD AND CAROLE TANENBAUM FAMILY CHARITABLE FOUNDATION,ON,NORTH YORK,4,4,4
THE HUCULAK FOUNDATION,ON,TORONTO,5,1,3
THE HUDSON BURNBRAE FOUNDATION,ON,BROCKVILLE,8,7,4
THE HUNT FAMILY CHARITABLE FOUNDATION,ON,TORONTO,4,7,3
THE HUSTLER YOUNG MEN'S BIBLE CLASS FOUNDATION,ON,OAKVILLE,4,4,4
THE IAN AND ROCHELLE LAING FAMILY FOUNDATION INC.,MB,WINNIPEG,9,6,3
THE ILLAHIE FOUNDATION,BC,FANNY BAY,6,0,3
THE ILLAHIE FOUNDATION,BC,VANCOUVER,2,0,1
THE IMMANUEL CHRISTIAN SCHOOL SOCIETY OF EAST TORONTO,ON,SCARBOROUGH,1,0,1
"THE IMMANUEL UNITED REFORMED CHURCH, LISTOWEL, ONTARIO",ON,LISTOWEL,10,3,4
THE INCORPORATED SYNOD OF THE DIOCESE OF CALEDONIA,BC,VANDERHOOF,2,7,2
THE INTERLAKE COMMUNITY FOUNDATION INC,MB,STONEWALL,1,4,1
THE INTERNATIONAL KNIGHTLY ORDER OF ST. GEORGE FOUNDATION,ON,KING CITY,1,2,1
THE IRA GLUSKIN AND MAXINE GRANOVSKY GLUSKIN CHARITABLE FOUN,ON,TORONTO,20,5,3
THE IRANIAN-CANADIAN BENEVOLENT FOUNDATION,BC,VANCOUVER,5,5,4
THE IRVING LEVINE FOUNDATION,ON,TORONTO,3,1,2
THE IRVING LUDMER FAMILY FOUNDATION/LA FONDATION FAMILIALE IRVING LUDMER,QC,MONTREAL,11,3,3
THE ISAAC FAMILY FOUNDATION,ON,JORDAN STATION,1,2,1
THE J T CLARK FAMILY FOUNDATION INC,NB,FREDERICTON,9,2,4
THE J W HARRY BUTCHER FUND,ON,STONEY CREEK,2,7,2
THE J W MCCONNELL FAMILY FOUNDATION/LA FONDATION DE LA FAMILLE J W MCCONNELL,QC,MONTREAL,215,7,3
THE JACK & DARLENE POOLE FOUNDATION,BC,VANCOUVER,1,7,1
THE JACK AND BARBARA HAY FOUNDATION,ON,LONDON,2,1,2
THE JACK HERBERT CHARITABLE FOUNDATION,QC,MONTREAL,4,2,2
THE JACK WEINBAUM FAMILY FOUNDATION,ON,TORONTO,40,1,4
THE JACQUELINE DESMARAIS FOUNDATION FOR YOUNG CANADIAN OPERASINGERS/LA FONDATION JACQUELINE DESMARAIS POUR LES JEUNES CHANTEURS D'OPÉRA CANADIENS,QC,MONTREAL,1,1,1
THE JADE GROUP FOUNDATION,BC,VANCOUVER,1,6,1
THE JAGELBER FUND,ON,TORONTO,15,2,3
THE JAMES AND PATRICIA BULLOCK FAMILY FOUNDATION,ON,ERIN,1,7,1
"THE JANE GOODALL INSTITUTE FOR WILDLIFE RESEARCH, EDUCATION AND CONSERVATION / L'INSTITUT JANE GOODALL POUR LA RECHERCHE, L'EDUCATION ET LA CONSERVATION DE LA FAUNE",ON,TORONTO,21,7,4
THE JANE SKORYNA FOUNDATION / LA FONDATION JANE SKORYNA,QC,MONTREAL,5,1,3
THE JANET E HUTCHISON FOUNDATION,ON,TORONTO,9,3,4
THE JARISLOWSKY FOUNDATION/LA FONDATION JARISLOWSKY,QC,MONTREAL,60,7,3
THE JASMINE FOUNDATION INC.,MB,ROSENORT,3,3,3
THE JAWL FOUNDATION,BC,VICTORIA,2,4,1
THE JAY AND BARBARA HENNICK FAMILY FOUNDATION,ON,TORONTO,8,2,2
THE JEAN AND SIDNEY BROWN FAMILY FOUNDATION,ON,CONCORD,1,0,1
THE JEREMIAH33 TRUST,QC,MONTREAL,2,5,2
THE JEREMY & JUDITH FREEDMAN FAMILY FOUNDATION,ON,NORTH YORK,10,5,4
THE JESSE DAVIDSON FOUNDATION,ON,LONDON,3,7,3
THE JESSE GLASS FOUNDATION,ON,TORONTO,2,5,1
THE JESUIT FATHERS OF SASKATCHEWAN,SK,REGINA,5,5,4
THE JESUIT FATHERS OF UPPER CANADA,ON,TORONTO,6,1,2
THE JESUIT SEMINARY ASSOCIATION (SUBSIDIARY OF THE JESUIT FATHERS UPPER CANADA),ON,TORONTO,2,4,1
THE JEWISH FAMILY AND CHILD FOUNDATION,ON,TORONTO,2,1,2
THE JEWISH FOUNDATION OF MANITOBA,MB,WINNIPEG,99,6,3
THE JEWISH LEGACY CHARITABLE FOUNDATION,ON,TORONTO,54,2,3
THE JIM AND LORNA BLAIR CHARITABLE FOUNDATION,ON,CAMBRIDGE,17,5,4
THE JIM MEEKISON & CAROLYN KEYSTONE FOUNDATION,ON,TORONTO,4,5,3
THE JIM PATTISON FOUNDATION,BC,VANCOUVER,8,4,4
THE JOAN AND CLIFFORD HATCH FOUNDATION,ON,TORONTO,16,3,4
THE JOAN AND JERRY LOZINSKI FOUNDATION,ON,TORONTO,3,2,1
THE JOAN AND JIM PATTERSON FOUNDATION,ON,ELORA,3,7,3
THE JOAN AND REGIS DUFFY FOUNDATION,PE,CHARLOTTETOWN,13,2,3
THE JOHN & ELLIE VOORTMAN CHARITABLE FOUNDATION,ON,ANCASTER,18,4,3
THE JOHN AND DEBORAH HARRIS FAMILY FOUNDATION,ON,TORONTO,7,5,3
THE JOHN AND JUDY BRAGG FAMILY FOUNDATION,NS,OXFORD,49,4,3
THE JOHN AND PAT MCCUTCHEON CHARITABLE FOUNDATION,ON,TORONTO,10,3,4
THE JOHN C AND SALLY HORSFALL EATON FOUNDATION,ON,TORONTO,13,4,4
THE JOHN DAVID AND SIGNY EATON CHARITABLE FOUNDATION,ON,CALEDON VILLAGE,3,7,2
THE JOHN DOBSON FOUNDATION,QC,MONTREAL,51,4,3
THE JOHN F QUINNEY FAMILY FOUNDATION,ON,LONDON,1,7,1
THE JOHN H AND MARIE KOZIAK FAMILY FOUNDATION,AB,EDMONTON,13,0,4
THE JOHN KNOX CHRISTIAN SCHOOL SOCIETY OF WOODSTOCK,ON,WOODSTOCK,2,2,2
THE JOHN ZANINI FOUNDATION,ON,ETOBICOKE,2,2,2
THE JORDAN FAMILY FOUNDATION,BC,VICTORIA,1,3,1
THE JORDAN FAMILY FOUNDATION,ON,ST. CATHARINES,5,2,3
THE JOSEPH AND FANNY TANENBAUM CHARITABLE FOUNDATION,ON,CONCORD,17,2,4
THE JOSEPH B. LUBOTTA CHARITABLE FOUNDATION,ON,TORONTO,6,6,4
THE JOSEPH FRIEBERG FAMILY CHARITABLE FOUNDATION,ON,CONDORD,9,2,4
THE JOSEPH H. M. WOOD FOUNDATION,ON,SHARON,1,7,1
THE JOSEPH LEBOVIC CHARITABLE FOUNDATION,ON,AURORA,16,7,2
THE JOSEPH LEBOVIC CHARITABLE FOUNDATION,ON,STOUFFVILLE,10,7,1
THE JOSEPH PARSHAN CHARITABLE FOUNDATION,ON,TORONTO,8,0,4
THE JOSEPH RUBIN FOUNDATION,ON,DOWNSVIEW,5,6,3
THE JOSEPH SEGAL FAMILY FOUNDATION,BC,VANCOUVER,12,5,2
THE JOSEPH TANENBAUM CHARITABLE FOUNDATION,ON,CONCORD,54,2,4
THE JOSHUA FOUNDATION INC,MB,WINNIPEG,2,4,2
THE JOY SMITH FOUNDATION INC.,MB,NORTH KILDONEN,1,4,1
THE JUDITH & NORMAN ALIX FOUNDATION,ON,SARNIA,1,2,1
THE JULES FOUNDATION,AB,CALGARY,4,2,3
THE JUNCTION CHRISTIAN REFORMED CHURCH OF ST. THOMAS,ON,ST THOMAS,4,4,4
THE JUNIOR LEAGUE OF CALGARY,AB,CALGARY,2,3,2
THE JUNIOR LEAGUE OF TORONTO,ON,TORONTO,5,4,4
THE JURAVINSKI FOUNDATION,ON,DUNDAS,3,7,3
THE K-W FOUNDATION FOR LUTHERAN EDUCATION,ON,KITCHENER,4,3,3
THE K. M. HUNTER CHARITABLE,ON,TORONTO,15,5,3
THE KAHANOFF CENTRE FOR CHARITABLE ACTIVITIES,AB,CALGARY,2,3,2
THE KALIMIN FOUNDATION,ON,ETOBICOKE,8,1,3
THE KAPOOR SINGH SIDDOO FOUNDATION,BC,WEST VANCOUVER,4,2,4
THE KARINA LEBLANC FOUNDATION,BC,MAPLE RIDGE,1,7,1
THE KATHLEEN AND WILLIAM DAVIS SCHOLORSHIP-BURSARY FUND,ON,CALEDON VILLAGE,2,7,2
THE KATHLEEN AND WILLIAM DAVIS SCHOLORSHIP-BURSARY FUND,ON,TORONTO,1,7,1
THE KATZ FAMILY FOUNDATION,ON,LONDON,2,4,2
THE KAVELMAN-FONN FOUNDATION,ON,TORONTO,7,4,3
THE KEG SPIRIT FOUNDATION,BC,RICHMOND,11,4,4
THE KELLAWAY FOUNDATION INC.,MB,WINNIPEG,4,4,4
THE KELMAN CHARITABLE FOUNDATION,ON,THORNHILL,21,6,4
THE KELTY PATRICK DENNEHY FOUNDATION,BC,WHISTLER,2,1,2
THE KEN PAGE MEMORIAL TRUST,ON,TORONTO,4,7,4
THE KENNETH G. MILLS FOUNDATION,ON,TORONTO,4,2,3
THE KEREN CHARITABLE FOUNDATION,ON,TORONTO,15,5,4
THE KETTLE SOCIETY,BC,VANCOUVER,1,1,1
THE KHALSA FOUNDATION,BC,RICHMOND,2,2,2
THE KHANDELWAL FOUNDATION,SK,SASKATOON,2,4,2
THE KIDNEY FOUNDATION OF CANADA / LA FONDATION CANADIENNE DU REIN,QC,MONTREAL,19,7,3
THE KIERVIN FAMILY FOUNDATION,ON,MONO,15,2,4
THE KINDER DREAM FOUNDATION,BC,VANCOUVER,1,3,1
THE KING'S COMMUNITY CHURCH,BC,LANGLEY,3,4,3
THE KING'S UNIVERSITY FOUNDATION,AB,EDMONTON,1,7,1
THE KINSMEN CLUB OF LINDSAY FOUNDATION,ON,LINDSAY,1,2,1
THE KITCHENER AND WATERLOO COMMUNITY FOUNDATION,ON,KITCHENER,97,7,3
THE KIWANIS CLUB OF OTTAWA MEDICAL FOUNDATION,ON,OTTAWA,1,7,1
THE KIWANIS CLUB OF RIDEAU (OTTAWA) INCORPORATED,ON,OTTAWA,1,3,1
THE KIWANIS CLUB OF RIVERDALE CHARITABLE FOUNDATION,ON,NEWCASTLE,1,7,1
THE KIWANIS CLUB OF TORONTO FOUNDATION,ON,TORONTO,3,1,1
THE KLEIN-PANNETON FOUNDATION/,ON,ERIN,5,3,3
THE KNIGHTSGRANGE FOUNDATION,ON,TORONTO,1,2,1
THE KOENIG FAMILY FOUNDATION,ON,TORONTO,26,2,4
THE KOFFLER FOUNDATION,ON,DOWNSVIEW,2,2,1
THE KOFFLER FOUNDATION,ON,TORONTO,9,2,3
THE KOLOLIAN FOUNDATION,ON,TORONTO,14,2,3
THE KPMG FOUNDATION/LA FONDATION KPMG,ON,TORONTO,124,7,4
THE KREMBIL FOUNDATION,ON,TORONTO,22,7,4
THE KRISTIE CHARITABLE FOUNDATION,AB,EDMONTON,1,4,1
THE L'ETETE CHURCH OF CHRIST,NB,ST GEORGE,1,2,1
THE LA GLACE CHRISTIAN REFORMED CHURCH,AB,LA GLACE,4,0,4
THE LADIES OF SACRED HEART BATAWA,ON,BATAWA,4,7,4
THE LAFLECHE FAMILY FOUNDATION/,ON,LONG SAULT,2,2,2
THE LAKEHEAD LEARNING FOUNDATION,ON,THUNDER BAY,4,7,4
THE LAMB FAMILY FOUNDATION INC.,AB,CALGARY,2,7,2
THE LAMB FAMILY FOUNDATION INC.,AB,ROCKY VIEW COUNTY,1,7,1
THE LAND BETWEEN,ON,HALIBURTON,1,4,1
THE LANG FAMILY FOUNDATION,ON,RICHMOND HILL,5,2,3
THE LANGAR FOUNDATION,ON,TORONTO,6,2,4
THE LANGARA FOUNDATION,BC,VANCOUVER,8,5,2
THE LANGHAM PARTNERSHIP - CANADA,ON,SCARBOROUGH,5,5,3
THE LAO'S FAMILY CHARITABLE TRUST,ON,TORONTO,19,6,4
THE LARKINS FAMILY FOUNDATION,ON,PENETANGUISHENE,2,0,2
"THE LATVIAN RELIEF SOCIETY OF CANADA, ""DAUGAVAS VANAGI""",ON,TORONTO,1,0,1
THE LAURIE AND RICHARD LEDERMAN CHARITABLE FOUNDATION,ON,TORONTO,1,1,1
THE LAW SOCIETY FOUNDATION,ON,TORONTO,4,7,2
THE LAWRASON FOUNDATION,ON,TORONTO,4,4,4
THE LAWRENCE FAMILY FOUNDATION,ON,TORONTO,2,2,1
THE LAWSON FOUNDATION,ON,TORONTO,35,7,2
THE LAZARIDIS FAMILY FOUNDATION,ON,WATERLOO,8,7,3
THE LEBOFF FAMILY CHARITABLE FOUNDATION,ON,TORONTO,14,5,4
THE LEDER CHARITABLE FOUNDATION,AB,ACHESON,16,3,4
THE LEGRESLEY FAMILY FOUNDATION,ON,TORONTO,8,5,4
THE LEMESSURIER FOUNDATION,QC,MONTREAL,7,7,3
THE LEO & BINA KOHN FOUNDATION INC./FONDATION LEO & BINA KOHN INC.,QC,OUTREMONT,6,4,3
THE LEO AND SALA GOLDHAR FOUNDATION,ON,TORONTO,1,2,1
THE LEONARD AND ALICE COHEN FAMILY FOUNDATION,QC,MONT-ROYAL,5,3,1
THE LEONARD CHARITIES,BC,VANCOUVER,3,2,1
THE LEONARD CHARITIES,ON,TORONTO,8,2,3
THE LEONARD FOUNDATION,ON,TORONTO,62,7,4
THE LEONARD SIMPSON FAMILY FOUNDATION,ON,TORONTO,2,1,2
THE LES AND KAE MARTIN CHARITABLE FOUNDATION,ON,MISSISSAUGA,4,5,4
THE LEUKEMIA & LYMPHOMA SOCIETY OF CANADA/SOCIETE DE LEUCEMIE & LYMPHOME DU CANADA,ON,NORTH YORK,2,7,1
THE LEUKEMIA & LYMPHOMA SOCIETY OF CANADA/SOCIETE DE LEUCEMIE & LYMPHOME DU CANADA,ON,TORONTO,26,7,3
THE LEVANTE FOUNDATION,NB,ST STEPHEN,1,7,1
THE LEVINE STUDY GROUP,ON,WILLOWDALE,1,6,1
THE LEWIS C. SMITH FOUNDATION,QC,WESTMOUNT,2,2,1
THE LEWIS COHEN FAMILY FOUNDATION,ON,TORONTO,14,2,4
THE LIBERMONT FOUNDATION/LA FONDATION LIBERMONT,QC,MONTREAL,9,4,3
THE LIFE CENTRE,BC,ABBOTSFORD,4,7,4
THE LIFE CENTRE CHRISTIAN FELLOWSHIP,ON,OTTAWA,2,3,1
THE LIFE INSTITUTE,ON,TORONTO,4,7,4
THE LIGHTHOUSE CHARITABLE FOUNDATION,ON,OAKVILLE,3,7,2
THE LIGHTHOUSE CHRISTIAN ACADEMY SOCIETY,BC,VICTORIA,1,3,1
THE LIGHTHOUSE FOUNDATION,ON,TORONTO,1,7,1
THE LILLIAN AND DON WRIGHT FOUNDATION,ON,TORONTO,8,7,4
THE LILLIAN AND NORMAN GLOWINSKY FAMILY FOUNDATION,ON,TORONTO,10,7,3
THE LINDA FRUM & HOWARD SOKOLOWSKI CHARITABLE FOUNDATION,ON,TORONTO,26,3,4
THE LINDA JUDITH REED FOUNDATION,ON,TORONTO,1,5,1
THE LINDY GREEN FAMILY CHARITABLE FOUNDATION,ON,TORONTO,26,2,3
THE LIONS CLUB OF NELSON CHARITABLE TRUST,BC,NELSON,10,4,4
THE LISA AND ALLAN BROWN FAMILY FOUNDATION,ON,TORONTO,4,4,3
THE LIVING TEMPLES EVANGELISTIC ASSOCIATION,ON,NAPANEE,1,2,1
THE LLOYD AND GLADYS FOGLER FOUNDATION,ON,TORONTO,10,0,4
THE LLOYD AND MARY ROGERS FAMILY CHARITABLE FOUNDATION,BC,VANCOUVER,1,5,1
THE LLOYD CARR-HARRIS FOUNDATION,ON,BRAMPTON,9,7,1
THE LONDON DISTRICT CHRISTIAN SECONDARY SCHOOL SOCIETY,ON,LONDON,1,3,1
THE LONDON DRUGS FOUNDATION,BC,RICHMOND,3,2,1
THE LONDON JEWISH COMMUNITY FOUNDATION,ON,LONDON,12,1,4
THE LONDON POLICE ASSOCIATION CHARITY FUND,ON,LONDON,8,2,4
THE LORD'S PEACE CHAPEL SOCIETY,BC,VANCOUVER,5,5,3
THE LORETTO LADIES' COLLEGES AND SCHOOLS,ON,TORONTO,20,4,4
THE LOWIDT FOUNDATION,ON,TORONTO,12,3,4
THE LOYALIST COLLEGE FOUNDATION,ON,BELLEVILLE,3,7,3
THE LUCIA COLAVITA FOUNDATION,ON,TORONTO,4,7,4
THE LUCKNOW CHRISTIAN REFORMED CHURCH,ON,LUCKNOW,4,3,3
THE LUIGI LIBERATORE FOUNDATION LA FONDATION LUIGI LIBERATORE,QC,PIERREFONDS,9,2,3
THE LUPINA FOUNDATION,ON,TORONTO,2,2,2
THE LUTHERAN CHURCH OF THE GOOD SHEPHERD OF RED DEER,AB,RED DEER,10,4,4
THE LYLE SHANTZ HALLMAN CHARITABLE FOUNDATION,ON,KITCHENER,21,7,4
THE M & J CHARITABLE TRUST,ON,TORONTO,24,3,4
THE M A C AIDS FUND/LE FONDS SIDA MAC,ON,TORONTO,3,4,3
THE M.K. FOUNDATION/LA FONDATION M.K.,QC,OUTREMONT,20,2,3
THE MACCALLUM S GRANT CHARITABLE FOUNDATION,ON,TORONTO,3,7,3
THE MACDONALD GRIFFIN CHARITABLE FOUNDATION,ON,TORONTO,1,7,1
THE MACDONALD STEWART FOUNDATION - LA FONDATION MACDONALD STEWART,QC,MONTREAL,13,5,4
THE MACKENNA FOUNDATION INCORPORATED,NS,SYDNEY,1,5,1
THE MACKINNON FOUNDATION,MB,WINNIPEG,4,6,4
THE MACMILLAN FAMILY FOUNDATION,ON,TORONTO,3,3,2
THE MACMILLIAN FAMILY FOUNDATION,ON,TORONTO,3,4,1
THE MALLINER CHARITABLE FOUNDATION,AB,ST ALBERT,2,2,2
THE MANCAP FOUNDATION,AB,EDMONTON,5,3,3
THE MANFRED & PENNY CONRAD FAMILY FOUNDATION,ON,WATERLOO,3,7,3
THE MANIFESTED WORD ASSEMBLY,AB,SPRUCE GROVE,1,5,1
THE MANTLE FOUNDATION,ON,FENWICK,1,4,1
THE MANTLE FOUNDATION,ON,FONTHILL,4,4,3
THE MAPLE RIDGE COMMUNITY FOUNDATION,BC,MAPLE RIDGE,7,3,4
"THE MARANATHA CHRISTIAN REFORMED CHURCH OF BELLEVILLE, ONTARIO",ON,BELLEVILLE,5,4,3
THE MARBLE ARCH FOUNDATION CORP.,ON,TORONTO,6,5,4
THE MARCEL AND FRANCES LABELLE FOUNDATION,ON,COCHRANE,1,5,1
THE MARDER FAMILY FOUNDATION,ON,TORONTO,30,3,2
THE MARGARET ANN AND DONALD S MCGIVERIN FOUNDATION,ON,TORONTO,2,4,2
THE MARGARET JEAN LEPPINGTON FOUNDATION,ON,TORONTO,4,7,4
THE MARGUERITE HUBBARD CHARITABLE FOUNDATION,NS,LUNENBURG,3,2,2
THE MARIANO ELIA FOUNDATION,ON,MISSISSAUGA,11,2,3
THE MARION ARMSTRONG CHARITABLE FOUNDATION,ON,TORONTO,10,3,3
THE MARJORIE AND JOSEPH WRIGHT MEMORIAL FOUNDATION,ON,ETOBICOKE,7,2,4
THE MARK MANDELBAUM FAMILY FOUNDATION,ON,NORTH YORK,1,1,1
THE MARKDALE ROTARY CLUB CHARITABLE TRUST,ON,MARKDALE,4,7,4
THE MARY-MARGARET WEBB FOUNDATION,ON,TORONTO,4,5,3
THE MASONIC FOUNDATION OF ALBERTA,AB,EDMONTON,7,7,3
THE MASONIC FOUNDATION OF ONTARIO,ON,HAMILTON,19,7,4
THE MASSEY FOUNDATION,BC,NORTH VANCOUVER,4,5,4
THE MATHISON FAMILY FOUNDATION,AB,CALGARY,4,7,4
THE MATLOW FAMILY CHARITABLE TRUST,ON,NORTH YORK,27,3,4
THE MATT FOUNDATION,ON,KANATA,3,3,3
THE MAURICE POLLACK FOUNDATION,QC,MONTREAL,2,1,2
THE MAURO FAMILY FOUNDATION INC.,YT,WHITEHORSE,7,7,4
THE MAX AND BEATRICE WOLFE CHARITABLE FOUNDATION,ON,TORONTO,11,3,4
THE MAX CLARKSON FAMILY FOUNDATION,ON,TORONTO,5,6,4
THE MAXFIELD FOUNDATION,ON,TRENTON,2,7,2
THE MAY COURT CLUB OF KITCHENER-WATERLOO,ON,WATERLOO,2,2,2
THE MAY COURT CLUB OF LONDON,ON,LONDON,1,2,1
THE MAY COURT CLUB OF OAKVILLE,ON,OAKVILLE,6,2,2
THE MAY COURT CLUB OF WINDSOR,ON,WINDSOR,4,6,3
THE MAYTREE FOUNDATION,ON,TORONTO,17,4,4
